Object,X,Y,Z,Time
Sun,    1.1564E+07,    6.8475E+05,    0.0000E+00,           10560000.
Jupiter,    7.6649E+11,    1.3762E+11,    0.0000E+00,           10560000.
Sun,    1.1695E+07,    6.9648E+05,    0.0000E+00,           10620000.
Jupiter,    7.6635E+11,    1.3839E+11,    0.0000E+00,           10620000.
Sun,    1.1828E+07,    7.0835E+05,    0.0000E+00,           10680000.
Jupiter,    7.6621E+11,    1.3917E+11,    0.0000E+00,           10680000.
Sun,    1.1960E+07,    7.2034E+05,    0.0000E+00,           10740000.
Jupiter,    7.6607E+11,    1.3994E+11,    0.0000E+00,           10740000.
Sun,    1.2094E+07,    7.3248E+05,    0.0000E+00,           10800000.
Jupiter,    7.6593E+11,    1.4071E+11,    0.0000E+00,           10800000.
Sun,    1.2229E+07,    7.4475E+05,    0.0000E+00,           10860000.
Jupiter,    7.6579E+11,    1.4149E+11,    0.0000E+00,           10860000.
Sun,    1.2364E+07,    7.5715E+05,    0.0000E+00,           10920000.
Jupiter,    7.6565E+11,    1.4226E+11,    0.0000E+00,           10920000.
Sun,    1.2500E+07,    7.6969E+05,    0.0000E+00,           10980000.
Jupiter,    7.6551E+11,    1.4303E+11,    0.0000E+00,           10980000.
